"# Prélèvements du banc — 1000 Genomes Project, séquençage 30x haute couverture NYGC, aligné GRCh38"
Prélèvement,Source,Population,Statut,Vérité GeT-RM,Vérité HLA Sanger
HG00111,1000G 30x (NYGC),GBR,analysé,oui,oui
HG00118,1000G 30x (NYGC),GBR,analysé,oui,oui
HG00122,1000G 30x (NYGC),GBR,analysé,oui,oui
HG00129,1000G 30x (NYGC),GBR,analysé,oui,oui
HG00133,1000G 30x (NYGC),GBR,analysé,oui,oui
HG00139,1000G 30x (NYGC),GBR,analysé,oui,oui
HG00185,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00276,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00277,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00304,1000G 30x (NYGC),FIN,analysé,oui,non
HG00315,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00325,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00332,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00334,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00337,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00368,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00373,1000G 30x (NYGC),FIN,analysé,oui,oui
HG00406,1000G 30x (NYGC),CHS,analysé,non,oui
HG00421,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00423,1000G 30x (NYGC),CHS,analysé,oui,non
HG00436,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00437,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00452,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00458,1000G 30x (NYGC),CHS,analysé,non,oui
HG00463,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00476,1000G 30x (NYGC),CHS,analysé,non,oui
HG00478,1000G 30x (NYGC),CHS,analysé,non,oui
HG00524,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00525,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00536,1000G 30x (NYGC),CHS,analysé,non,oui
HG00537,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00538,1000G 30x (NYGC),CHS,analysé,oui,non
HG00557,1000G 30x (NYGC),CHS,analysé,non,oui
HG00560,1000G 30x (NYGC),CHS,analysé,non,oui
HG00584,1000G 30x (NYGC),CHS,analysé,non,oui
HG00589,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00595,1000G 30x (NYGC),CHS,analysé,non,oui
HG00599,1000G 30x (NYGC),CHS,analysé,oui,non
HG00613,1000G 30x (NYGC),CHS,analysé,oui,oui
HG00619,1000G 30x (NYGC),CHS,analysé,non,oui
HG00620,1000G 30x (NYGC),CHS,analysé,non,oui
HG00625,1000G 30x (NYGC),CHS,analysé,non,oui
HG00635,1000G 30x (NYGC),CHS,analysé,non,oui
HG00657,1000G 30x (NYGC),CHS,analysé,non,oui
HG00671,1000G 30x (NYGC),CHS,analysé,non,oui
